GeoFips,GeoName,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4
1000,Alabama,202069.1,183890.3,200354.3,201310.6,202598.8,204135.8,204968.8,207835.2
2000,Alaska,52876.1,47820.3,49213.8,50733.8,49820.2,50307.6,50352.9,50720.6
4000,Arizona,324209.9,303625.2,323723.2,330644.2,331004.1,335980.7,338770.5,343943.4
5000,Arkansas,116945.8,108853.8,116646.3,117328,119313.5,120493.3,120760.1,122275.4
6000,California,2739612.3,2496457.9,2690337.2,2728256.4,2799129.2,2860601.9,2879898.7,2946067.2
8000,Colorado,357983.5,327566.5,347601.2,350893.8,357382.7,365512.2,367681,373097.4
9000,Connecticut,245664.6,220784.7,237215.7,239889.2,240712.2,244913.3,246434.3,251070.5
10000,Delaware,63227.4,58989.4,62828.2,63180,62865.4,63909.2,64704.4,65872.9
11000,District of Columbia,125651.9,118138.3,121811.5,123766.6,123514.9,125359.9,126603.4,127705.1
12000,Florida,968139.8,887134.4,958143.2,962585.8,978444.2,1006240,1015729.2,1034362.4
13000,Georgia,551631.3,507102.3,542117.7,545920.7,554992.1,565877.8,570261.2,580626.8
15000,Hawaii,77374.7,66399,68883.6,69843.3,70653.8,73896.2,74986.5,75981.6
16000,Idaho,74672.5,69045.3,74893.7,76010.2,77265.9,77765.2,77537.7,79082.9
17000,Illinois,763614.3,694926.7,742852.1,749181.3,766829,771306,775271.1,784945
18000,Indiana,338137.4,304394.8,336678.7,340242.4,348472.4,352213.3,352532.6,357278.1
19000,Iowa,171962.8,160153.4,171502.8,174062.1,178621.7,181305.7,181089,180048
20000,Kansas,160610.5,147121,158961.7,160387.3,162059.7,162965,162655.4,163255.9
21000,Kentucky,190903.4,171911.5,189231.5,190094.1,192634.7,193651.7,194128.2,196945.7
22000,Louisiana,231935.4,209621.9,223747.2,223882.7,224325.9,228737.2,227342.7,230532.6
23000,Maine,59882.6,55198,59368.4,60580.4,60933.5,61584,61862.1,62880.9
24000,Maryland,365726.5,334346.5,355810.5,356326.6,364834,361511.5,363084.5,367539.7
25000,Massachusetts,516373.4,467257.2,500353.4,510323.9,517170.8,528270.4,533244.6,543334.5
26000,Michigan,462839.6,406074.7,455563.2,458252.8,461249.3,475273.8,475043.1,481766.1
27000,Minnesota,336437.6,308909.5,328661.3,332534.1,337184.1,345268.1,346982.7,351253
28000,Mississippi,102318.6,92537.9,101273.2,102540.1,103180.8,103827.8,103986.6,105043.8
29000,Missouri,289267.7,266144.9,285546.8,289657.4,292949.7,294799,295983.8,299171.5
30000,Montana,46632.8,43813.1,46797.4,47389.1,48651.5,49347.8,49288.3,49767.2
31000,Nebraska,119356.1,110306.4,118916.2,122080.9,124849.5,123662.6,123660.1,123415.7
32000,Nevada,157787.4,129735.7,145798.3,147554.9,149987,155644.8,156698.6,159708
33000,New Hampshire,77475.9,69908.7,76338,78449.8,78919.7,82931.7,82154,83721.8
34000,New Jersey,561934.1,496793.2,539946.6,544505.5,554377.6,557419.2,562577.5,572753.5
35000,New Mexico,96816.7,88037,92640.4,93292,94088.2,94742.1,94730.1,96488.4
36000,New York,1478701.6,1336585.6,1427034.8,1438242.1,1463162.2,1489937.6,1498318.3,1515818.9
37000,North Carolina,512890.8,467952.3,505611,511616,523298.7,530933.7,534103.6,544023.2
38000,North Dakota,57212.1,52580.9,54299.4,54231.9,55427.5,56179.7,55782.6,55530.3
39000,Ohio,607554.1,549261.4,598448.6,604326.7,609231.7,613695,615257.8,623479.6
40000,Oklahoma,198173.5,181175.3,191955.1,192271.1,192114.5,194360.5,194988.9,198827
41000,Oregon,219990.1,200578.4,214498.5,216331.7,220592.9,222663.8,224577.3,229880.5
42000,Pennsylvania,711885.6,635657.8,689419.6,698132.5,702716,710846.8,715035.6,726164.6
44000,Rhode Island,52786.9,47948.3,52169.8,52755.6,52272.8,54438.4,54732.3,55447
45000,South Carolina,211784.1,194789.8,212745.6,214602.3,217344.4,220004,220865.9,224541.7
46000,South Dakota,47582.8,44126.2,46920.6,48101.4,48924.2,49069.7,48943.9,48979
47000,Tennessee,329142.7,288729.6,320474.8,326954.3,337611,340933.2,343539.9,351709.5
48000,Texas,1783603,1640169.1,1745366.7,1768145.6,1786515.2,1820328.3,1836855.2,1881751
49000,Utah,171099.8,163398.3,173146.4,177836,180194.6,181965.2,183233.3,186132.1
50000,Vermont,29949,26519.8,28933.2,29192,29410.3,29517,29557.9,30130
51000,Virginia,484783.2,449479.3,476685.5,484321.8,485850,490071.6,493639.8,500941.3
53000,Washington,539701.9,504612.1,544628.5,542505.2,553143.8,567383.1,570587.1,582097.2
54000,West Virginia,71676.2,65362.1,70167.7,71640.2,71643.6,72889.2,72539.2,72854.1
55000,Wisconsin,298653.8,274276.3,294987,298946.2,300025.5,302168.8,302198.8,306733
56000,Wyoming,38285.8,34678.2,36061.7,36000.9,36425.2,36673.6,36565.4,36979.4
